id, time, RAWvalue, PrettyValue
33822, "151,809323711204", "225", "5,49"
33823, "151,809323711204", "223", "5,44"
33824, "151,817066011368", "224", "5,47"
33825, "151,831994311768", "224", "5,47"
33826, "151,837109911605", "223", "5,44"
33827, "151,857937811292", "225", "5,49"
33828, "151,857937811292", "223", "5,44"
33829, "151,864534811466", "224", "5,47"
33830, "151,884539011517", "224", "5,47"
33831, "151,884539011517", "222", "5,42"
33832, "151,907976611634", "225", "5,49"
33833, "151,907976611634", "223", "5,44"
33834, "151,913693111506", "224", "5,47"
33835, "151,933715911466", "224", "5,47"
33836, "151,933715911466", "222", "5,42"
33837, "151,95734301128", "224", "5,47"
33838, "151,963825111394", "223", "5,44"
33839, "151,963825111394", "223", "5,44"
33840, "151,983709311695", "224", "5,47"
33841, "151,983709311695", "222", "5,42"
33842, "152,013669511885", "224", "5,47"
33843, "152,013669511885", "222", "5,42"
33844, "152,013669511885", "223", "5,44"
33845, "152,033700612257", "223", "5,44"
33846, "152,033700612257", "222", "5,42"
33847, "152,057378412108", "224", "5,47"
33848, "152,063612412079", "222", "5,42"
33849, "152,063612412079", "223", "5,44"
33850, "152,083701411611", "223", "5,44"
33851, "152,083701411611", "222", "5,42"
33852, "152,108345611836", "224", "5,47"
33853, "152,114576911903", "222", "5,42"
33854, "152,114576911903", "222", "5,42"
33855, "152,1353800121", "223", "5,44"
33856, "152,1353800121", "221", "5,40"
33857, "152,159369212459", "223", "5,44"
33858, "152,159369212459", "221", "5,40"
33859, "152,165528012323", "222", "5,42"
33860, "152,185450612218", "223", "5,44"
33861, "152,185450612218", "221", "5,40"
33862, "152,209209512337", "222", "5,42"
33863, "152,209209512337", "221", "5,40"
33864, "152,215527212131", "222", "5,42"
33865, "152,237251911894", "222", "5,42"
33866, "152,237251911894", "220", "5,37"
33867, "152,258166311891", "222", "5,42"
33868, "152,262066011899", "221", "5,40"
33869, "152,262066011899", "221", "5,40"
33870, "152,282468411489", "222", "5,42"
33871, "152,282468411489", "220", "5,37"
33872, "152,308849711786", "222", "5,42"
33873, "152,308849711786", "220", "5,37"
33874, "152,313585811644", "221", "5,40"
33875, "152,334744911059", "222", "5,42"
33876, "152,334744911059", "220", "5,37"
33877, "152,378179410356", "222", "5,42"
33878, "152,378179410356", "220", "5,37"
33879, "152,378179410356", "221", "5,40"
33880, "152,378179410356", "222", "5,42"
33881, "152,384527210495", "220", "5,37"
33882, "152,407245310373", "222", "5,42"
33883, "152,413733210298", "220", "5,37"
33884, "152,413733210298", "221", "5,40"
33885, "152,437268110341", "221", "5,40"
33886, "152,437268110341", "220", "5,37"
33887, "152,457342710695", "222", "5,42"
33888, "152,461127310642", "220", "5,37"
33889, "152,461127310642", "221", "5,40"
33890, "152,480909410981", "221", "5,40"
33891, "152,487127211061", "220", "5,37"
33892, "152,507289811154", "222", "5,42"
33893, "152,507289811154", "220", "5,37"
33894, "152,511195511208", "221", "5,40"
33895, "152,537155610858", "221", "5,40"
33896, "152,537155610858", "220", "5,37"
33897, "152,557177710929", "221", "5,40"
33898, "152,560724810814", "220", "5,37"
33899, "152,560724810814", "220", "5,37"
33900, "152,581248610863", "221", "5,40"
33901, "152,585575210978", "219", "5,35"
33902, "152,613647410995", "221", "5,40"
33903, "152,613647410995", "220", "5,37"
33904, "152,613647410995", "220", "5,37"
33905, "152,633817811147", "221", "5,40"
33906, "152,633817811147", "219", "5,35"
33907, "152,657405511593", "221", "5,40"
33908, "152,663831011509", "220", "5,37"
33909, "152,663831011509", "220", "5,37"
33910, "152,683886111132", "221", "5,40"
33911, "152,683886111132", "219", "5,35"
33912, "152,708189711091", "221", "5,40"
33913, "152,708189711091", "219", "5,35"
33914, "152,714671210968", "220", "5,37"
33915, "152,735587511095", "220", "5,37"
33916, "152,735587511095", "219", "5,35"
33917, "152,75723071082", "221", "5,40"
33918, "152,760795810842", "219", "5,35"
33919, "152,760795810842", "220", "5,37"
33920, "152,787123910733", "221", "5,40"
33921, "152,787123910733", "219", "5,35"
33922, "152,807385010528", "221", "5,40"
33923, "152,811027410557", "219", "5,35"
33924, "152,817211310496", "220", "5,37"
33925, "152,837242610636", "220", "5,37"
33926, "152,837242610636", "219", "5,35"
33927, "152,857294910937", "221", "5,40"
33928, "152,860967110959", "219", "5,35"
33929, "152,860967110959", "220", "5,37"
33930, "152,880808811053", "220", "5,37"
33931, "152,886863510939", "219", "5,35"
33932, "152,910285810824", "221", "5,40"
33933, "152,910285810824", "219", "5,35"
33934, "152,915771810687", "220", "5,37"
33935, "152,935564310639", "220", "5,37"
33936, "152,935564310639", "219", "5,35"
33937, "152,958454810898", "220", "5,37"
33938, "152,958454810898", "219", "5,35"
33939, "152,984642910422", "220", "5,37"
33940, "152,984642910422", "220", "5,37"
33941, "152,984642910422", "218", "5,32"
33942, "153,027019309928", "220", "5,37"
33943, "153,027019309928", "219", "5,35"
33944, "153,027019309928", "220", "5,37"
33945, "153,027019309928", "220", "5,37"
33946, "153,037337209913", "218", "5,32"
33947, "153,05725180998", "220", "5,37"
33948, "153,061097209924", "219", "5,35"
33949, "153,067960209795", "219", "5,35"
33950, "153,08459321002", "220", "5,37"
33951, "153,08459321002", "218", "5,32"
33952, "153,108071009745", "220", "5,37"
33953, "153,108071009745", "218", "5,32"
33954, "153,112257709843", "219", "5,35"
33955, "153,133879109635", "220", "5,37"
33956, "153,133879109635", "218", "5,32"
33957, "153,159797209199", "220", "5,37"
33958, "153,159797209199", "218", "5,32"
33959, "153,167106609209", "219", "5,35"
33960, "153,180811009021", "220", "5,37"
33961, "153,187104208977", "217", "5,30"
33962, "153,207089108997", "220", "5,37"
33963, "153,211109409225", "218", "5,32"
33964, "153,217156009399", "219", "5,35"
33965, "153,237295609782", "219", "5,35"
33966, "153,237295609782", "217", "5,30"
33967, "153,260991709656", "220", "5,37"
33968, "153,260991709656", "218", "5,32"
33969, "153,260991709656", "219", "5,35"
33970, "153,280732909567", "219", "5,35"
33971, "153,287150709773", "217", "5,30"
33972, "153,306621209602", "220", "5,37"
33973, "153,311085609603", "218", "5,32"
33974, "153,317126309383", "219", "5,35"
33975, "153,332241909928", "219", "5,35"
33976, "153,337218409753", "217", "5,30"
33977, "153,357080809656", "219", "5,35"
33978, "153,361132609542", "217", "5,30"
33979, "153,361132609542", "218", "5,32"
33980, "153,382181409164", "219", "5,35"
33981, "153,382181409164", "217", "5,30"
33982, "153,407039008918", "219", "5,35"
33983, "153,411068208865", "217", "5,30"
33984, "153,417183708749", "219", "5,35"
33985, "153,43715970905", "219", "5,35"
33986, "153,43715970905", "217", "5,30"
33987, "153,461046708631", "219", "5,35"
33988, "153,461046708631", "217", "5,30"
33989, "153,461046708631", "218", "5,32"
33990, "153,482011408661", "219", "5,35"
33991, "153,482011408661", "217", "5,30"
33992, "153,508121008635", "219", "5,35"
33993, "153,508121008635", "217", "5,30"
33994, "153,511578808655", "218", "5,32"
33995, "153,537241908372", "218", "5,32"
33996, "153,537241908372", "217", "5,30"
33997, "153,557176908595", "219", "5,35"
33998, "153,560707808589", "217", "5,30"
33999, "153,560707808589", "218", "5,32"
34000, "153,58452860883", "218", "5,32"
34001, "153,5905922089", "216", "5,27"
34002, "153,611145808711", "218", "5,32"
34003, "153,611145808711", "217", "5,30"
34004, "153,614773808629", "218", "5,32"
34005, "153,633953708806", "218", "5,32"
34006, "153,660279609147", "216", "5,27"
34007, "153,660279609147", "218", "5,32"
34008, "153,660279609147", "217", "5,30"
