id, time, RAWvalue, PrettyValue
34442, "144,779750931892", "274", "6,69"
34443, "144,779750931892", "275", "6,71"
34444, "144,779750931892", "275", "6,71"
34445, "144,801579931867", "274", "6,69"
34446, "144,807156731957", "274", "6,69"
34447, "144,826313231955", "274", "6,69"
34448, "144,829712931882", "274", "6,69"
34449, "144,836202131934", "274", "6,69"
34450, "144,877973531722", "273", "6,67"
34451, "144,877973531722", "274", "6,69"
34452, "144,877973531722", "273", "6,67"
34453, "144,877973531722", "273", "6,67"
34454, "144,881603131653", "273", "6,67"
34455, "144,906261631637", "273", "6,67"
34456, "144,906261631637", "273", "6,67"
34457, "144,926297831698", "272", "6,64"
34458, "144,930496331654", "273", "6,67"
34459, "144,930496331654", "273", "6,67"
34460, "144,956223532208", "272", "6,64"
34461, "144,956223532208", "272", "6,64"
34462, "144,976315932465", "272", "6,64"
34463, "144,981455932488", "272", "6,64"
34464, "144,981455932488", "272", "6,64"
34465, "145,002945132903", "271", "6,62"
34466, "145,006259032874", "272", "6,64"
34467, "145,010474532726", "271", "6,62"
34468, "145,027104732464", "271", "6,62"
34469, "145,036150032305", "271", "6,62"
34470, "145,052795332274", "271", "6,62"
34471, "145,052795332274", "271", "6,62"
34472, "145,07798083208", "271", "6,62"
34473, "145,07798083208", "271", "6,62"
34474, "145,080947432085", "271", "6,62"
34475, "145,102917731623", "271", "6,62"
34476, "145,102917731623", "271", "6,62"
34477, "145,110443831771", "270", "6,59"
34478, "145,127109331428", "271", "6,62"
34479, "145,130056931521", "271", "6,62"
34480, "145,152846431476", "270", "6,59"
34481, "145,152846431476", "271", "6,62"
34482, "145,17633213161", "270", "6,59"
34483, "145,179812731571", "271", "6,62"
34484, "145,186202231678", "270", "6,59"
34485, "145,203756431467", "270", "6,59"
34486, "145,203756431467", "271", "6,62"
34487, "145,213059931644", "270", "6,59"
34488, "145,226314631873", "270", "6,59"
34489, "145,231803331641", "270", "6,59"
34490, "145,251218831749", "270", "6,59"
34491, "145,254511531792", "270", "6,59"
34492, "145,279742031707", "270", "6,59"
34493, "145,279742031707", "270", "6,59"
34494, "145,279742031707", "270", "6,59"
34495, "145,302878031856", "269", "6,57"
34496, "145,309672132018", "270", "6,59"
34497, "145,327198532294", "269", "6,57"
34498, "145,327198532294", "269", "6,57"
34499, "145,330312732258", "270", "6,59"
34500, "145,353845432051", "269", "6,57"
34501, "145,353845432051", "269", "6,57"
34502, "145,379749431624", "268", "6,54"
34503, "145,379749431624", "269", "6,57"
34504, "145,379749431624", "269", "6,57"
34505, "145,401643031626", "268", "6,54"
34506, "145,407157531823", "268", "6,54"
34507, "145,427174332202", "268", "6,54"
34508, "145,431585932267", "268", "6,54"
34509, "145,431585932267", "268", "6,54"
34510, "145,452926532249", "267", "6,52"
34511, "145,452926532249", "268", "6,54"
34512, "145,476365632261", "267", "6,52"
34513, "145,479826632305", "267", "6,52"
34514, "145,486239432241", "267", "6,52"
34515, "145,506289932528", "267", "6,52"
34516, "145,511604832602", "267", "6,52"
34517, "145,511604832602", "266", "6,49"
34518, "145,529704332701", "267", "6,52"
34519, "145,53245873272", "267", "6,52"
34520, "145,556235232507", "266", "6,49"
34521, "145,556235232507", "267", "6,52"
34522, "145,576513132663", "266", "6,49"
34523, "145,581433632527", "267", "6,52"
34524, "145,581433632527", "266", "6,49"
34525, "145,602846432594", "266", "6,49"
34526, "145,602846432594", "266", "6,49"
34527, "145,629764632671", "266", "6,49"
34528, "145,633353032754", "266", "6,49"
34529, "145,633353032754", "266", "6,49"
34530, "145,656232932932", "265", "6,47"
34531, "145,656232932932", "266", "6,49"
34532, "145,676299933228", "265", "6,47"
34533, "145,681609233259", "266", "6,49"
34534, "145,681609233259", "265", "6,47"
34535, "145,701438833377", "265", "6,47"
34536, "145,707131633419", "266", "6,49"
34537, "145,726377933635", "265", "6,47"
34538, "145,729733133572", "265", "6,47"
34539, "145,734531233436", "266", "6,49"
34540, "145,754035133286", "265", "6,47"
34541, "145,754035133286", "265", "6,47"
34542, "145,778101733071", "265", "6,47"
34543, "145,778101733071", "265", "6,47"
34544, "145,781608633115", "265", "6,47"
34545, "145,806252532755", "264", "6,45"
34546, "145,806252532755", "265", "6,47"
34547, "145,826316832681", "265", "6,47"
34548, "145,831440632814", "265", "6,47"
34549, "145,831440632814", "265", "6,47"
34550, "145,857170832693", "264", "6,45"
34551, "145,857170832693", "265", "6,47"
34552, "145,87742543302", "264", "6,45"
34553, "145,87742543302", "264", "6,45"
34554, "145,882851133007", "264", "6,45"
34555, "145,903035533032", "264", "6,45"
34556, "145,903035533032", "264", "6,45"
34557, "145,928007932962", "264", "6,45"
34558, "145,928007932962", "264", "6,45"
34559, "145,931651632884", "264", "6,45"
34560, "145,956329432898", "263", "6,42"
34561, "145,956329432898", "264", "6,45"
34562, "145,977846132941", "263", "6,42"
34563, "145,983683832805", "264", "6,45"
34564, "145,983683832805", "264", "6,45"
34565, "146,004556932836", "263", "6,42"
34566, "146,004556932836", "264", "6,45"
34567, "146,026331133093", "263", "6,42"
34568, "146,029699433013", "263", "6,42"
34569, "146,034633132978", "263", "6,42"
34570, "146,052955832914", "263", "6,42"
34571, "146,052955832914", "264", "6,45"
34572, "146,061445833067", "263", "6,42"
34573, "146,079735732987", "263", "6,42"
34574, "146,079735732987", "263", "6,42"
34575, "146,101904132986", "263", "6,42"
34576, "146,107131333207", "263", "6,42"
34577, "146,157161632669", "263", "6,42"
34578, "146,157161632669", "263", "6,42"
34579, "146,157161632669", "263", "6,42"
34580, "146,166160332388", "263", "6,42"
34581, "146,166160332388", "263", "6,42"
34582, "146,166160332388", "263", "6,42"
34583, "146,177732232376", "263", "6,42"
34584, "146,182840332272", "263", "6,42"
34585, "146,202903932077", "262", "6,40"
34586, "146,202903932077", "263", "6,42"
34587, "146,227715931949", "263", "6,42"
34588, "146,227715931949", "263", "6,42"
34589, "146,232896331814", "263", "6,42"
34590, "146,252894331352", "262", "6,40"
34591, "146,252894331352", "263", "6,42"
34592, "146,27788893145", "262", "6,40"
34593, "146,27788893145", "263", "6,42"
34594, "146,28365753137", "263", "6,42"
34595, "146,306260531186", "262", "6,40"
34596, "146,306260531186", "263", "6,42"
34597, "146,326371030766", "262", "6,40"
34598, "146,331488630618", "262", "6,40"
34599, "146,331488630618", "263", "6,42"
34600, "146,356389830005", "262", "6,40"
34601, "146,356389830005", "263", "6,42"
34602, "146,381495029782", "262", "6,40"
34603, "146,389554729802", "262", "6,40"
34604, "146,389554729802", "262", "6,40"
34605, "146,393861629651", "262", "6,40"
34606, "146,402839429793", "262", "6,40"
34607, "146,430933829513", "262", "6,40"
34608, "146,436206829385", "262", "6,40"
34609, "146,436206829385", "262", "6,40"
34610, "146,454703629133", "261", "6,37"
34611, "146,454703629133", "262", "6,40"
34612, "146,479711128981", "262", "6,40"
34613, "146,479711128981", "262", "6,40"
34614, "146,479711128981", "262", "6,40"
34615, "146,504706828739", "261", "6,37"
34616, "146,504706828739", "262", "6,40"
34617, "146,529744928586", "261", "6,37"
34618, "146,529744928586", "262", "6,40"
34619, "146,532765128533", "262", "6,40"
34620, "146,556343128788", "261", "6,37"
34621, "146,556343128788", "262", "6,40"
34622, "146,576432828908", "261", "6,37"
34623, "146,581499829073", "262", "6,40"
34624, "146,581499829073", "262", "6,40"
34625, "146,606256329338", "261", "6,37"
34626, "146,606256329338", "262", "6,40"
34627, "146,627983229118", "261", "6,37"
34628, "146,627983229118", "261", "6,37"
34629, "146,632779328967", "261", "6,37"
34630, "146,656280929339", "261", "6,37"
34631, "146,656280929339", "262", "6,40"
34632, "146,682793529355", "261", "6,37"
34633, "146,682793529355", "261", "6,37"
34634, "146,682793529355", "261", "6,37"
34635, "146,702885329374", "261", "6,37"
34636, "146,702885329374", "261", "6,37"
34637, "146,727188229677", "260", "6,35"
34638, "146,730325429584", "261", "6,37"
34639, "146,730325429584", "261", "6,37"
34640, "146,752934729564", "260", "6,35"
34641, "146,752934729564", "261", "6,37"
34642, "146,793870329508", "260", "6,35"
34643, "146,793870329508", "261", "6,37"
34644, "146,793870329508", "261", "6,37"
34645, "146,797271229443", "260", "6,35"
34646, "146,802972229314", "261", "6,37"
34647, "146,827223529224", "260", "6,35"
34648, "146,830543629243", "260", "6,35"
34649, "146,830543629243", "260", "6,35"
34650, "146,852920829435", "260", "6,35"
34651, "146,856235229527", "261", "6,37"
34652, "146,879834729596", "260", "6,35"
34653, "146,879834729596", "260", "6,35"
34654, "146,883175129653", "260", "6,35"
34655, "146,901418729569", "260", "6,35"
34656, "146,90712372947", "261", "6,37"
34657, "146,927435329068", "260", "6,35"
34658, "146,932812028914", "260", "6,35"
34659, "146,932812028914", "261", "6,37"
34660, "146,953214628738", "260", "6,35"
34661, "146,953214628738", "261", "6,37"
34662, "146,978077728883", "260", "6,35"
34663, "146,978077728883", "260", "6,35"
34664, "146,981705728802", "260", "6,35"
34665, "147,006285128999", "260", "6,35"
34666, "147,006285128999", "261", "6,37"
34667, "147,026314628893", "260", "6,35"
34668, "147,030587528949", "260", "6,35"
34669, "147,030587528949", "260", "6,35"
34670, "147,056249928777", "260", "6,35"
34671, "147,056249928777", "261", "6,37"
34672, "147,076313728816", "260", "6,35"
34673, "147,080538128852", "261", "6,37"
34674, "147,080538128852", "260", "6,35"
34675, "147,106312928838", "260", "6,35"
34676, "147,106312928838", "261", "6,37"
34677, "147,114919328946", "260", "6,35"
34678, "147,126314529101", "261", "6,37"
34679, "147,130607928964", "261", "6,37"
34680, "147,156213829177", "260", "6,35"
34681, "147,156213829177", "262", "6,40"
34682, "147,177330729202", "261", "6,37"
34683, "147,182817429421", "262", "6,40"
34684, "147,182817429421", "262", "6,40"
34685, "147,202864029328", "261", "6,37"
34686, "147,202864029328", "262", "6,40"
34687, "147,213056929526", "262", "6,40"
34688, "147,227246729773", "262", "6,40"
34689, "147,230139629799", "263", "6,42"
34690, "147,252899729763", "262", "6,40"
34691, "147,252899729763", "263", "6,42"
34692, "147,278025729931", "263", "6,42"
34693, "147,278025729931", "263", "6,42"
34694, "147,281423529959", "263", "6,42"
34695, "147,302462030551", "263", "6,42"
34696, "147,302462030551", "264", "6,45"
34697, "147,32975463022", "264", "6,45"
34698, "147,32975463022", "265", "6,47"
34699, "147,333586230292", "265", "6,47"
34700, "147,352914130199", "265", "6,47"
34701, "147,352914130199", "266", "6,49"
34702, "147,376392029808", "265", "6,47"
34703, "147,380001729704", "267", "6,52"
34704, "147,386255829479", "267", "6,52"
34705, "147,403864629217", "267", "6,52"
34706, "147,403864629217", "268", "6,54"
34707, "147,434595429222", "268", "6,54"
34708, "147,434595429222", "268", "6,54"
34709, "147,434595429222", "269", "6,57"
34710, "147,452117429464", "269", "6,57"
34711, "147,454838329577", "270", "6,59"
34712, "147,478008929291", "270", "6,59"
34713, "147,478008929291", "271", "6,62"
34714, "147,481528529315", "271", "6,62"
34715, "147,506252928986", "271", "6,62"
34716, "147,506252928986", "273", "6,67"
34717, "147,526810629177", "272", "6,64"
34718, "147,532837929088", "273", "6,67"
34719, "147,532837929088", "274", "6,69"
34720, "147,552851329208", "274", "6,69"
34721, "147,552851329208", "275", "6,71"
34722, "147,579742229427", "275", "6,71"
34723, "147,579742229427", "276", "6,74"
34724, "147,579742229427", "277", "6,76"
34725, "147,606434829417", "277", "6,76"
34726, "147,606434829417", "278", "6,79"
34727, "147,626289329608", "278", "6,79"
34728, "147,630645229598", "279", "6,81"
34729, "147,630645229598", "280", "6,84"
34730, "147,656279129791", "280", "6,84"
34731, "147,656279129791", "281", "6,86"
34732, "147,676319630002", "281", "6,86"
34733, "147,680520529975", "282", "6,88"
34734, "147,680520529975", "283", "6,91"
34735, "147,701214130153", "283", "6,91"
34736, "147,70399893017", "284", "6,93"
34737, "147,727187030134", "284", "6,93"
34738, "147,730079530156", "285", "6,96"
34739, "147,730079530156", "286", "6,98"
34740, "147,754632530152", "286", "6,98"
34741, "147,754632530152", "287", "7,01"
34742, "147,780597729958", "287", "7,01"
34743, "147,780597729958", "288", "7,03"
34744, "147,780597729958", "289", "7,06"
34745, "147,807150029927", "289", "7,06"
34746, "147,807150029927", "290", "7,08"
34747, "147,810256529949", "290", "7,08"
34748, "147,826343729976", "291", "7,10"
34749, "147,83473642997", "291", "7,10"
34750, "147,856310029863", "291", "7,10"
34751, "147,856310029863", "293", "7,15"
34752, "147,876338929753", "293", "7,15"
34753, "147,8815913297", "294", "7,18"
34754, "147,8815913297", "294", "7,18"
34755, "147,901433329913", "294", "7,18"
34756, "147,907228730037", "295", "7,20"
34757, "147,92763162998", "295", "7,20"
34758, "147,92763162998", "296", "7,23"
34759, "147,932838930166", "297", "7,25"
34760, "147,958020130056", "296", "7,23"
34761, "147,958020130056", "297", "7,25"
34762, "147,977130029933", "297", "7,25"
34763, "147,977130029933", "299", "7,30"
34764, "147,980984429945", "299", "7,30"
34765, "148,006274929852", "299", "7,30"
34766, "148,006274929852", "300", "7,32"
34767, "148,027486529783", "300", "7,32"
34768, "148,027486529783", "300", "7,32"
34769, "148,033756429912", "301", "7,35"
34770, "148,070750529994", "300", "7,32"
34771, "148,076331730117", "302", "7,37"
34772, "148,076331730117", "301", "7,35"
34773, "148,076331730117", "302", "7,37"
34774, "148,101225630031", "302", "7,37"
34775, "148,10642763006", "302", "7,37"
34776, "148,10642763006", "303", "7,40"
34777, "148,126369229867", "303", "7,40"
34778, "148,131429929635", "303", "7,40"
34779, "148,131429929635", "304", "7,42"
34780, "148,156305329758", "304", "7,42"
34781, "148,156305329758", "305", "7,45"
34782, "148,176477230038", "304", "7,42"
34783, "148,181556130177", "305", "7,45"
34784, "148,181556130177", "305", "7,45"
34785, "148,201471230132", "305", "7,45"
34786, "148,207210729946", "306", "7,47"
34787, "148,226499830023", "306", "7,47"
34788, "148,229786330019", "306", "7,47"
34789, "148,234596230206", "307", "7,50"
34790, "148,251355730114", "306", "7,47"
34791, "148,254087030073", "307", "7,50"
34792, "148,276633329806", "307", "7,50"
34793, "148,279704029788", "307", "7,50"
34794, "148,286307229777", "308", "7,52"
34795, "148,303739929921", "307", "7,50"
34796, "148,303739929921", "308", "7,52"
34797, "148,329684329801", "308", "7,52"
34798, "148,329684329801", "308", "7,52"
34799, "148,332507129875", "309", "7,54"
34800, "148,356401429395", "308", "7,52"
34801, "148,356401429395", "309", "7,54"
34802, "148,376319229021", "308", "7,52"
34803, "148,381384028937", "309", "7,54"
34804, "148,386226429022", "309", "7,54"
34805, "148,402842028649", "308", "7,52"
34806, "148,402842028649", "310", "7,57"
34807, "148,426377428113", "309", "7,54"
34808, "148,429809628171", "309", "7,54"
34809, "148,434510727995", "310", "7,57"
34810, "148,451333427918", "309", "7,54"
34811, "148,454203728004", "310", "7,57"
34812, "148,476517828298", "309", "7,54"
34813, "148,479691128363", "310", "7,57"
34814, "148,484580528573", "310", "7,57"
34815, "148,506359328865", "310", "7,57"
34816, "148,506359328865", "310", "7,57"
34817, "148,526310128742", "310", "7,57"
34818, "148,531419528765", "310", "7,57"
34819, "148,531419528765", "310", "7,57"
34820, "148,556341828895", "310", "7,57"
34821, "148,556341828895", "311", "7,59"
34822, "148,577546428773", "310", "7,57"
34823, "148,577546428773", "310", "7,57"
34824, "148,582820828888", "310", "7,57"
34825, "148,606421928969", "310", "7,57"
34826, "148,606421928969", "311", "7,59"
34827, "148,626350229024", "310", "7,57"
34828, "148,6316085289", "310", "7,57"
34829, "148,6316085289", "310", "7,57"
34830, "148,652877228917", "310", "7,57"
34831, "148,652877228917", "311", "7,59"
34832, "148,676444628858", "310", "7,57"
34833, "148,68135952868", "310", "7,57"
34834, "148,68135952868", "310", "7,57"
34835, "148,714717029012", "310", "7,57"
34836, "148,714717029012", "311", "7,59"
34837, "148,714717029012", "310", "7,57"
34838, "148,726405329187", "310", "7,57"
34839, "148,731582329259", "311", "7,59"
34840, "148,752910629264", "310", "7,57"
34841, "148,752910629264", "311", "7,59"
34842, "148,777242429438", "310", "7,57"
34843, "148,777242429438", "311", "7,59"
34844, "148,781446929439", "311", "7,59"
34845, "148,802875029738", "310", "7,57"
34846, "148,802875029738", "311", "7,59"
34847, "148,828066029935", "310", "7,57"
34848, "148,830904330011", "310", "7,57"
34849, "148,830904330011", "310", "7,57"
34850, "148,852879429818", "310", "7,57"
34851, "148,852879429818", "311", "7,59"
34852, "148,876301330165", "310", "7,57"
34853, "148,880514330347", "310", "7,57"
34854, "148,880514330347", "311", "7,59"
34855, "148,906286030426", "310", "7,57"
34856, "148,906286030426", "311", "7,59"
34857, "148,926344330772", "310", "7,57"
34858, "148,929713830701", "310", "7,57"
34859, "148,934764230507", "311", "7,59"
34860, "148,951386630419", "310", "7,57"
34861, "148,954259030405", "311", "7,59"
34862, "148,976456730277", "310", "7,57"
34863, "148,979702530312", "311", "7,59"
34864, "148,98455053044", "311", "7,59"
34865, "149,006386630121", "310", "7,57"
34866, "149,006386630121", "311", "7,59"
34867, "149,014807330328", "311", "7,59"
34868, "149,026307530119", "311", "7,59"
34869, "149,033588730148", "311", "7,59"
34870, "149,056386430166", "310", "7,57"
34871, "149,056386430166", "311", "7,59"
34872, "149,076362730353", "311", "7,59"
34873, "149,08155863022", "311", "7,59"
34874, "149,08155863022", "311", "7,59"
34875, "149,102879929938", "311", "7,59"
34876, "149,102879929938", "312", "7,62"
34877, "149,111368629732", "311", "7,59"
34878, "149,128099329886", "312", "7,62"
