id, time, RAWvalue, PrettyValue
75185, "593,795730756596", "161", "3,93"
75186, "593,795730756596", "161", "3,93"
75187, "593,795730756596", "160", "3,91"
75188, "593,813966656104", "161", "3,93"
75189, "593,813966656104", "161", "3,93"
75190, "593,818300555926", "161", "3,93"
75191, "593,838023355696", "161", "3,93"
75192, "593,838023355696", "161", "3,93"
75193, "593,862242955249", "161", "3,93"
75194, "593,867399355397", "161", "3,93"
75195, "593,88716855552", "161", "3,93"
75196, "593,891424555331", "161", "3,93"
75197, "593,891424555331", "160", "3,91"
75198, "593,911912655225", "161", "3,93"
75199, "593,917390955379", "161", "3,93"
75200, "593,922577455407", "161", "3,93"
75201, "593,938051155536", "161", "3,93"
75202, "593,938051155536", "161", "3,93"
75203, "593,964082255261", "162", "3,96"
75204, "593,964082255261", "161", "3,93"
75205, "593,998179555638", "161", "3,93"
75206, "593,998179555638", "162", "3,96"
75207, "594,003850455629", "161", "3,93"
75208, "594,003850455629", "162", "3,96"
75209, "594,014125455869", "162", "3,96"
75210, "594,023908455623", "162", "3,96"
75211, "594,038899655687", "162", "3,96"
75212, "594,038899655687", "162", "3,96"
75213, "594,060618155636", "163", "3,98"
75214, "594,060618155636", "162", "3,96"
75215, "594,090604256373", "163", "3,98"
75216, "594,090604256373", "163", "3,98"
75217, "594,090604256373", "163", "3,98"
75218, "594,114114056341", "163", "3,98"
75219, "594,114114056341", "163", "3,98"
75220, "594,138813056517", "163", "3,98"
75221, "594,138813056517", "164", "4,00"
75222, "594,138813056517", "163", "3,98"
75223, "594,160590156447", "164", "4,00"
75224, "594,165803156327", "164", "4,00"
75225, "594,191385956481", "164", "4,00"
75226, "594,191385956481", "165", "4,03"
75227, "594,191385956481", "164", "4,00"
75228, "594,211584756151", "165", "4,03"
75229, "594,215621456038", "165", "4,03"
75230, "594,236896956339", "165", "4,03"
75231, "594,236896956339", "166", "4,05"
75232, "594,242903056554", "166", "4,05"
75233, "594,264252856839", "166", "4,05"
75234, "594,264252856839", "166", "4,05"
75235, "594,291396757122", "167", "4,08"
75236, "594,291396757122", "167", "4,08"
