id, time, RAWvalue, PrettyValue
50185, "346,598623769823", "196", "4,79"
50186, "346,598623769823", "194", "4,74"
50187, "346,598623769823", "195", "4,76"
50188, "346,598623769823", "195", "4,76"
50189, "346,598623769823", "193", "4,71"
50190, "346,619542369386", "196", "4,79"
50191, "346,619542369386", "193", "4,71"
50192, "346,619542369386", "195", "4,76"
50193, "346,641221869271", "195", "4,76"
50194, "346,641221869271", "193", "4,71"
50195, "346,668162469054", "196", "4,79"
50196, "346,668162469054", "193", "4,71"
50197, "346,689857868943", "195", "4,76"
50198, "346,695498269051", "195", "4,76"
50199, "346,695498269051", "193", "4,71"
50200, "346,7359997686", "195", "4,76"
50201, "346,7359997686", "193", "4,71"
50202, "346,7359997686", "195", "4,76"
50203, "346,739711068571", "195", "4,76"
50204, "346,739711068571", "193", "4,71"
50205, "346,764640768757", "195", "4,76"
50206, "346,768902868731", "193", "4,71"
50207, "346,795433668653", "194", "4,74"
50208, "346,795433668653", "195", "4,76"
50209, "346,795433668653", "193", "4,71"
50210, "346,816109968349", "195", "4,76"
50211, "346,816109968349", "193", "4,71"
50212, "346,821482268162", "194", "4,74"
50213, "346,841129968408", "195", "4,76"
50214, "346,841129968408", "192", "4,69"
50215, "346,866199768614", "195", "4,76"
50216, "346,866199768614", "193", "4,71"
50217, "346,892171068583", "194", "4,74"
50218, "346,895902668592", "194", "4,74"
50219, "346,895902668592", "192", "4,69"
50220, "346,901655468624", "195", "4,76"
50221, "346,915333868703", "193", "4,71"
50222, "346,941303568892", "194", "4,74"
50223, "346,941303568892", "194", "4,74"
50224, "346,947956068907", "192", "4,69"
50225, "346,965607668972", "195", "4,76"
50226, "346,965607668972", "192", "4,69"
50227, "346,992083468707", "194", "4,74"
50228, "346,992083468707", "194", "4,74"
50229, "347,001160768792", "192", "4,69"
50230, "347,019477368565", "195", "4,76"
50231, "347,019477368565", "192", "4,69"
50232, "347,019477368565", "193", "4,71"
50233, "347,03804586851", "194", "4,74"
50234, "347,042119368678", "192", "4,69"
